SMILES,Predicted Side Effects,Severity,Severity Score
O=C(C(C)C)O[C@H]1[C@H](n2ccc(nc2=O)N)O[C@]([C@H]1OC(=O)C(C)C)(N=[N+]=[N-])COC(C(C)C)=O,"nausea, diarrhea, headache, vomiting, dizziness",Not Severe,0.1002
c12c([nH]c(SCc3ccccc3F)nc2=CNC(=C(OC)C=1)OC)=O,"headache, dizziness, nausea, diarrhea, vomiting",Not Severe,0.0984
O=C1CC(Oc2cc(cc(O)c21)OC)c1ccccc1,"dizziness, fatigue, headache, drowsiness, dry mouth",Not Severe,0.1555
[C@@H]1(C=C(O[C@@H]([C@@H]([C@@H](CO)O)O)[C@@H]1NC(=O)C)C(=O)O)N=C(N)N,"diarrhea, dizziness, nausea, headache, vomiting",Not Severe,0.074
Oc1cc2c(c(O)c1)c(c(O)c(-c1cc(O)c(O)c(c1)O)o2)=O,"dizziness, nausea, diarrhea, stomach upset, headache",Not Severe,0.2638
c1nc(Nc2ccc(C(O)CNC(C)C)cc2)ccc1,"dizziness, flatulence, diarrhoea, drowsiness, dry mouth",Not Severe,0.2193
O[C@@H]1[C@H](O[C@@H](n2c([nH]/c(=N\O)cc2)=O)[C@@H]1O)COC(=O)C(C)C,"dizziness, nausea, diarrhea, headache, vomiting",Not Severe,0.1123
C(N(CC)CC)(c1cc(C)ccc1)=O,"dizziness, diarrhea, skin irritation, redness, swelling",Not Severe,0.1481
c1(O)cc(O)cc2oc(c(OC3C(C(C(O)C(O3)CO)O)O)c(c12)=O)-c1cc(O)c(cc1)O,"headache, dizziness, diarrhea, vomiting, nausea",Not Severe,0.1295
O=c1c2c(cc(cc2O)O)oc(c1O)-c1ccc(O)cc1,"dizziness, stomach upset, nausea, diarrhea, headache",Not Severe,0.1963
OC[C@H]1O[C@@H](n2cnc(C(N)=O)n2)[C@H](O)[C@@H]1O,"dizziness, diarrhea, nausea, headache, flatulence",Not Severe,0.1558
c1ccc(cc1C)C(=O)N(CC)CC,"itching, nausea, vomiting, skin irritation, redness",Not Severe,0.1958
Cc1cc(C(=O)N(CC)CC)ccc1,"skin irritation, redness, swelling, seizures, tremors",Not Severe,0.1547
c1(O)cc(O)c(c2c1c(cc(o2)-c1ccc(O)cc1)=O)-c1c(c2c(oc(cc2=O)-c2ccc(cc2)O)cc1O)O,"dizziness, headache, diarrhea, vomiting, nausea",Not Severe,0.2423
C(C(O[C@H]1CN2[C@@H]([C@H]([C@@H]1O)O)[C@H](CC2)O)=O)CC,"dizziness, nausea, vomiting, diarrhea, headache",Not Severe,0.12
n1(nc(C(N)=O)nc1)[C@H]1[C@H](O)[C@@H]([C@H](O1)CO)O,"diarrhea, dizziness, headache, nausea, vomiting",Not Severe,0.0971
C1(C)=C(/C=C/C(C)=C/C=C/C(=C/C(Nc2ccc(cc2)O)=O)C)C(C)(C)CCC1,"headache, skin dryness, night-blindness, agitation, skin rash",Not Severe,0.123
[C@H]1([C@@H](C[C@@H](c2c(O)c(O)c(c(O)c2)O)O[C@@H](C)[C@H]1CC)O[C@H]1[C@H](O)[C@H](O[C@H](O)C1)N(C)C)O,"nausea, diarrhea, itching, dizziness, vomiting",Not Severe,0.1334
n1(c(C)nc2c1ccnc2)-c1ccc(cc1)C1NC(=C(C(Nc2ccccn2)=O)[C@@H](c2ccccc2Cl)C=1C(=O)OCC)C,"headache, vomiting, nausea, diarrhea, dizziness",Not Severe,0.1469
[C@H]1([C@@H](CO)O[C@H]([C@@H]1O)n1nc(C(N)=O)nc1)O,"dizziness, nausea, diarrhea, headache, vomiting",Not Severe,0.1043
OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1nc(nc1)C(=O)N,"nausea, diarrhea, vomiting, dizziness, headache",Not Severe,0.141
C(C)[C@@H]1[C@@H](O[C@H](c2c(c(c(c(O)c2)O)O)O)C[C@@H](O[C@@H]2C[C@H](O[C@H](N(C)C)[C@H]2O)O)[C@H]1O)C,"nausea, diarrhea, vomiting, itching, dizziness",Not Severe,0.1336
C1C(CCN(C)C1)=C1c2ccccc2CC(=O)c2c1ccs2,"dizziness, headache, skin irritation, redness, swelling",Not Severe,0.1506
n1cn([C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)nc1C(=O)N,"dizziness, diarrhea, headache, nausea, vomiting",Not Severe,0.1277
CN(C)C(NC(N)=N)=N,"dizziness, diarrhea, headache, bloating, gas",Not Severe,0.0944
C(Nc1ccc(cc1)O)(=O)C,"skin irritation, redness, swelling, seizures, tremors",Not Severe,0.123
c1(ccccc1)C1N2C(=O)C(C(N(C=1O)C1C(C)C(C(O)C(C1O)O)C)C(C2)=O)C,"headache, diarrhea, dizziness, vomiting, nausea",Not Severe,0.0768
O=C(c1cccc(C)c1)N(CC)CC,"constipation, skin irritation, redness, swelling, seizures",Not Severe,0.2373
[C@@H]1(CCC(/C(C1)=C\C=C1\[C@H]2[C@@](C)([C@H](CC2)[C@@H](CCCC(C)C)C)CCC1)=C)O,"diarrhea, nausea, stomach pain, itching, dizziness",Not Severe,0.176
COc1c(c(O)cc(c1)O)C(=O)C=Cc1ccccc1,"nausea, diarrhea, headache, dizziness, stomach upset",Not Severe,0.2191
O1C(CO)C(C(O)C(O)C1Oc1c(-c2cc(O)c(cc2)O)oc2cc(cc(O)c2c1=O)O)O,"dizziness, diarrhea, headache, vomiting, nausea",Not Severe,0.1274
C(c1ccc(cc1)CC(C)C)(C(=O)O)C,"skin irritation, redness, swelling, seizures, tremors",Not Severe,0.1427
C(CCN(CC)CC)C(Nc1c2ccc(cc2ncc1)Cl)C,"nausea, vomiting, constipation, itching, headache",Not Severe,0.2145
n1c(ccn(c1=O)[C@@H]1O[C@](COC(=O)C(C)C)([C@@H](OC(=O)C(C)C)[C@H]1OC(=O)C(C)C)N=[N+]=[N-])N,"diarrhea, headache, nausea, dizziness, vomiting",Not Severe,0.0971
C([O-])(C(c1ccccc1C(c1ccccc1)C)C)=O.[Na+],"dizziness, diarrhea, headache, nausea, vomiting",Not Severe,0.1139
c1(C(C(O)=O)C)ccc(cc1)CC(C)C,"dizziness, headache, diarrhea, skin irritation, redness",Not Severe,0.1312
c1c(/C=C/c2nc3c(ccc(Cl)c3)cc2)cc(cc1)[C@H](SCC1(CC1)CC(=O)O)CCc1ccccc1C(O)(C)C,"headache, diarrhea, dizziness, vomiting, nausea",Not Severe,0.1589
CC1OC(OC2C(O)C(C(OC2Oc2cc3OC(c4ccc(cc4)O)CC(=O)c3c(c2)O)CO)O)C(C(O)C1O)O,"headache, dizziness, diarrhea, cough, headaches",Not Severe,0.086
C(Cc1ccc(cc1)C(C)C(=O)O)(C)C,"dizziness, headache, itching, nausea, vomiting",Not Severe,0.1498
[C@@H]1([C@H]([C@H](O)[C@H](O)CO)OC(C(O)=O)=C[C@@H]1N=C(N)N)NC(=O)C,"diarrhea, dizziness, nausea, headache, stomach pain",Not Severe,0.1066
C(=O)(C)Nc1ccc(cc1)O,"diarrhea, dizziness, headache, nausea, vomiting",Not Severe,0.122
[C@H]1(O[C@@H]([C@H]([C@H]1O)O)COC(C(C)C)=O)n1c(=O)[nH]/c(cc1)=N\O,"diarrhea, nausea, headache, dizziness, stomach pain",Not Severe,0.1315
o1c(c(O)c(=O)c2c(O)cc(cc21)O)-c1cc(O)c(O)c(c1)O,"nausea, diarrhea, headache, dizziness, stomach upset",Not Severe,0.2785
[Na+].c1(c(cccc1)C(c1ccccc1)C)C(C([O-])=O)C,"headache, diarrhea, dizziness, nausea, vomiting",Not Severe,0.1346
[C@H]1(O)[C@@H]([C@@H](OC(CCC)=O)CN2[C@@H]1[C@H](CC2)O)O,"diarrhea, nausea, dizziness, itching, stomach pain",Not Severe,0.1203
O(c1cc2OC(c3ccccc3)CC(c2c(O)c1)=O)C,"dizziness, stomach irritation, kidney damage, bleeding, stomach pain",Not Severe,0.181
c1(cc(ccc1)/C=C/c1ccc2c(cc(cc2)Cl)n1)[C@H](SCC1(CC(=O)O)CC1)CCc1ccccc1C(C)(O)C,"headache, diarrhea, vomiting, nausea, dizziness",Not Severe,0.1775
c1(=O)cc(oc2c1c(c(-c1c3oc(-c4ccc(O)cc4)cc(=O)c3c(O)cc1O)c(O)c2)O)-c1ccc(cc1)O,"diarrhea, headache, dizziness, nausea, vomiting",Not Severe,0.2147
N(C(=O)c1cc(ccc1)C)(CC)CC,"nausea, vomiting, itching, skin irritation, redness",Not Severe,0.1925
c1(ccc2c(=O)c(coc2c1)-c1ccc(cc1)O)O,"nausea, diarrhea, headache, dizziness, stomach upset",Not Severe,0.1989
n1c(n(nn1)CC(=O)O)SCC1C(=O)N(C)C(=O)C2C(C)C(N)C(NC1=2)=O,"headache, dizziness, diarrhea, vomiting, nausea",Not Severe,0.1032
O=C1c2c(OC(C1)c1ccccc1)cc(OC)cc2O,"fatigue, headache, stomach irritation, kidney damage, bleeding",Not Severe,0.1109
c1(C(=O)N)nn([C@H]2[C@@H]([C@H](O)[C@@H](CO)O2)O)cn1,"dizziness, diarrhea, headache, nausea, vomiting",Not Severe,0.1145
N=C(NC(=N)N)N(C)C,"diarrhea, rash, bloating, gas, belly pain",Not Severe,0.0876
[C@H]12[C@H]([C@H](O)[C@@H](OC(CCC)=O)CN2CC[C@@H]1O)O,"diarrhea, nausea, dizziness, itching, stomach pain",Not Severe,0.1356
c1c(ccc(CC(C)C)c1)C(C)C(O)=O,"nausea, vomiting, itching, dizziness, skin irritation",Not Severe,0.2115
C[C@@H]([C@H]1CC[C@H]2/C(CCC[C@@]21C)=C/C=C1/C[C@@H](O)CCC1=C)CCCC(C)C,"nausea, diarrhea, itching, vomiting, stomach pain",Not Severe,0.1996
C(C)(CCC[C@H]([C@@H]1[C@@]2(C)CCC/C([C@@H]2CC1)=C\C=C1/C(CC[C@H](O)C1)=C)C)C,"nausea, diarrhea, itching, vomiting, headache",Not Severe,0.1819
[Na+].c1(ccccc1)C(c1ccccc1C(C)C([O-])=O)C,"dizziness, headache, diarrhea, nausea, vomiting",Not Severe,0.1182
C(O)(=O)c1ccccc1OC(=O)C,"diarrhea, dizziness, headache, nausea, flatulence",Not Severe,0.187
CC(Nc1ccc(cc1)O)=O,"skin irritation, redness, swelling, seizures, tremors",Not Severe,0.1252
C(Nc1ccnc2c1ccc(Cl)c2)(C)CCCN(CC)CC,"constipation, headache, nausea, vomiting, loss of appetite",Not Severe,0.2327
n1c(cccc1)Nc1ccc(cc1)C(CNC(C)C)O,"headache, dizziness, itching, nausea, vomiting",Not Severe,0.2448
C1(C)CCCC(C=1/C=C/C(=C/C=C/C(C)=C/C(Nc1ccc(cc1)O)=O)C)(C)C,"diarrhea, headache, dizziness, nausea, vomiting",Not Severe,0.1009
O1[C@@H](n2nc(nc2)C(N)=O)[C@@H]([C@@H]([C@H]1CO)O)O,"dizziness, diarrhea, headache, nausea, vomiting",Not Severe,0.116
CC(C)CCC[C@H]([C@@H]1[C@]2(C)[C@H](/C(CCC2)=C/C=C2\C(CC[C@H](O)C2)=C)CC1)C,"nausea, diarrhea, itching, vomiting, stomach pain",Not Severe,0.1574
Oc1c2c(cc(c1-c1c3oc(cc(c3c(O)cc1O)=O)-c1ccc(O)cc1)O)oc(cc2=O)-c1ccc(cc1)O,"dizziness, headache, vomiting, nausea, diarrhea",Not Severe,0.2823
[C@H]1(OC)C[C@H](O[C@H]2[C@H](C)O[C@H](C[C@@H]2OC)O[C@H]2[C@H](/C=C/C=C3/[C@@]4([C@@H]([C@H](O)C(=C[C@H]4C(=O)O[C@@H]4C[C@@]5(O[C@@H](C4)C/C=C/2C)CC[C@@H]([C@H](O5)[C@H](CC)C)C)C)OC3)O)C)O[C@H]([C@@H]1O)C.[C@H]12C[C@@H](C[C@]3(CC[C@H](C)[C@H](O3)C(C)C)O2)OC([C@@H]2C=C([C@@H](O)[C@H]3OC/C(=C\C=C\[C@@H]([C@H](O[C@@H]4O[C@@H](C)[C@@H]([C@H](C4)OC)O[C@H]4C[C@@H]([C@H]([C@H](C)O4)O)OC)/C(C)=C/C1)C)[C@@]23O)C)=O,"diarrhea, nausea, itching, dizziness, stomach pain",Not Severe,0.126
O=C(O)C1=C[C@@H]([C@@H](NC(C)=O)[C@@H](O1)[C@H](O)[C@H](O)CO)N=C(N)N,"diarrhea, dizziness, headache, nausea, vomiting",Not Severe,0.0718
c1(ccccc1OC(C)=O)C(O)=O,"diarrhea, headache, dizziness, vomiting, nausea",Not Severe,0.0912
o1c(cc(c2c(cc(O)c(-c3c(O)cc4oc(-c5ccc(cc5)O)cc(=O)c4c3O)c21)O)=O)-c1ccc(O)cc1,"headache, dizziness, diarrhea, cough, headaches",Not Severe,0.2254
C(N)(=O)c1ncn([C@@H]2O[C@@H]([C@H]([C@H]2O)O)CO)n1,"dizziness, diarrhea, headache, nausea, vomiting",Not Severe,0.1855
c1cccc2CC(c3c(C(=C4CCN(CC4)C)c12)ccs3)=O,"headache, fatigue, dizziness, stomach irritation, kidney damage",Not Severe,0.1909
N12CC(=O)C(N(C3C(C(C)C(C(O)C3O)O)C)C(O)=C1c1ccccc1)C(C)C2=O,"photosensitivity, stomach upset, cough, dizziness, headaches",Not Severe,0.0727
CC(c1ccccc1C(C([O-])=O)C)c1ccccc1.[Na+],"dizziness, headache, stomach pain, heartburn, stomach irritation",Not Severe,0.1424
N(C)(C)[C@H]1O[C@H](O)C[C@@H](O[C@@H]2C[C@@H](c3c(O)c(c(c(c3)O)O)O)O[C@@H](C)[C@H]([C@@H]2O)CC)[C@@H]1O,"nausea, diarrhea, dizziness, itching, vomiting",Not Severe,0.168
O([C@H]1[C@H](O)[C@@H](N(C)C)O[C@H](O)C1)[C@H]1[C@@H](O)[C@H](CC)[C@H](C)O[C@H](c2c(O)c(c(c(O)c2)O)O)C1,"nausea, diarrhea, vomiting, dizziness, headache",Not Severe,0.1333
c1c(O)ccc(c1)NC(C)=O,"diarrhea, nausea, bloating, gas, belly pain",Not Severe,0.12
C1(=C2CCN(CC2)C)c2c(cccc2)CC(c2c1ccs2)=O,"headache, vomiting, nausea, diarrhea, dizziness",Not Severe,0.1481
c1(O)cc(O)c2c(c1)oc(c(c2=O)O)-c1ccc(cc1)O,"dizziness, headache, diarrhea, nausea, vomiting",Not Severe,0.1682
C1N2C(c3ccccc3)=C(O)N(C3C(C(C(O)C(C3C)C)O)O)C(C(C)C2=O)C1=O,"dizziness, photosensitivity, stomach upset, cough, headaches",Not Severe,0.0633
[C@H]1(c2c(O)c(c(c(c2)O)O)O)O[C@@H](C)[C@@H](CC)[C@@H]([C@@H](C1)O[C@@H]1C[C@@H](O)O[C@@H]([C@H]1O)N(C)C)O,"nausea, diarrhea, itching, dizziness, vomiting",Not Severe,0.1295
c1(c2c(cnc1)cc(cc2)Cl)N1CCN(CC1)C,"fatigue, headache, constipation, stomach irritation, kidney damage",Not Severe,0.1984
[C@H]1(O[C@@H]([C@H]([C@H]1O)O)CO)n1nc(C(N)=O)nc1,"dizziness, diarrhea, nausea, headache, vomiting",Not Severe,0.122
[Na+].c1(c(cccc1)C(C)C(=O)[O-])C(C)c1ccccc1,"headache, diarrhea, dizziness, nausea, vomiting",Not Severe,0.1471
CC(O)(c1c(cccc1)CC[C@H](c1cc(ccc1)/C=C/c1ccc2c(n1)cc(cc2)Cl)SCC1(CC1)CC(O)=O)C,"headache, diarrhea, nausea, vomiting, itching",Not Severe,0.1811
O(C1=C(OC)NC=c2nc([nH]c(c2=C1)=O)SCc1c(cccc1)F)C,"dizziness, headache, vomiting, nausea, diarrhea",Not Severe,0.1458
c1(OC)cc2OC(c3ccccc3)CC(c2c(O)c1)=O,"diarrhea, dizziness, headache, nausea, vomiting",Not Severe,0.1519
Oc1cc(O)cc2c1c(c(OC1OC(C(C(C1O)O)O)CO)c(-c1cc(O)c(O)cc1)o2)=O,"headache, dizziness, diarrhea, vomiting, nausea",Not Severe,0.1292
o1c(-c2ccc(O)c(O)c2)c(OC2OC(C(O)C(C2O)O)CO)c(=O)c2c(cc(O)cc21)O,"dizziness, headache, diarrhea, vomiting, nausea",Not Severe,0.1725
O=c1c(coc2cc(ccc21)O)-c1ccc(O)cc1,"dizziness, drowsiness, dry mouth, stomach pain, heartburn",Not Severe,0.2124
C1(C)=C([C@@H](c2c(cccc2)Cl)C(=C(N1)c1ccc(-n2c3c(nc2C)cncc3)cc1)C(OCC)=O)C(Nc1ccccn1)=O,"headache, diarrhea, dizziness, vomiting, nausea",Not Severe,0.1327
[C@@H]12[C@]3(/C(=C/C=C/[C@H](C)[C@@H](/C(=C/C[C@@H]4C[C@H](OC(=O)[C@@H]3C=C([C@H]2O)C)C[C@]2(O4)O[C@H](C(C)C)[C@@H](C)CC2)C)O[C@H]2C[C@H](OC)[C@H]([C@@H](O2)C)O[C@@H]2O[C@H]([C@@H]([C@H](C2)OC)O)C)CO1)O.[C@H]1([C@@H](/C(=C/C[C@@H]2C[C@H](OC([C@@H]3C=C([C@H]([C@H]4OC/C(=C\C=C\1)[C@@]34O)O)C)=O)C[C@@]1(O[C@@H]([C@H](CC1)C)[C@H](CC)C)O2)C)O[C@H]1C[C@@H]([C@H]([C@@H](O1)C)O[C@@H]1O[C@H]([C@H](O)[C@@H](OC)C1)C)OC)C,"diarrhea, nausea, itching, dizziness, stomach pain",Not Severe,0.1344
c1ccc(-c2oc3c(c(O)c(O)c(c3)O)c(c2)=O)cc1,"diarrhea, nausea, stomach upset, headache, dizziness",Not Severe,0.2487
O[C@H]1[C@@H](O[C@@H]([C@H]1O)CO)n1cnc(n1)C(N)=O,"dizziness, diarrhea, nausea, headache, vomiting",Not Severe,0.1251
c1cc(C2CC(c3c(O2)cc(OC)cc3O)=O)ccc1,"dizziness, stomach upset, cough, photosensitivity, nausea",Not Severe,0.215
O(C(=O)C(C)C)[C@H]1[C@@H](OC(=O)C(C)C)[C@@H](O[C@]1(N=[N+]=[N-])COC(C(C)C)=O)n1c(nc(cc1)N)=O,"nausea, diarrhea, headache, vomiting, dizziness",Not Severe,0.1188
N1(c2cncc3c2ccc(Cl)c3)CCN(C)CC1,"constipation, headache, fatigue, nausea, vomiting",Not Severe,0.2654
C1/C([C@H]2[C@]([C@@H]([C@@H](CCCC(C)C)C)CC2)(C)CC1)=C\C=C1/C(=C)CC[C@@H](C1)O,"diarrhea, nausea, headache, stomach pain, vomiting",Not Severe,0.1458
O(c1c(cccc1)C(=O)O)C(C)=O,"constipation, stomach pain, skin irritation, redness, swelling",Not Severe,0.1489
O=C1C2N(C(=C(N(C1)C(C2C)=O)c1ccccc1)O)C1C(C(C(O)C(C1C)C)O)O,"dizziness, photosensitivity, stomach upset, drowsiness, dry mouth",Not Severe,0.0616
c1(n(nnn1)CC(=O)O)SCC1C(N(C(=O)C2C(C(N)C(=O)NC1=2)C)C)=O,"headache, diarrhea, dizziness, vomiting, nausea",Not Severe,0.1
C1(C(=C(C)CCC1)/C=C/C(=C/C=C/C(C)=C/C(=O)Nc1ccc(O)cc1)C)(C)C,"headache, diarrhea, skin rash, dizziness, nausea",Not Severe,0.0975
C(C1OC(C(OC2C(O)C(C(O)C(C)O2)O)C(C1O)O)Oc1cc2c(c(c1)O)C(CC(c1ccc(O)cc1)O2)=O)O,"dizziness, headache, cough, headaches, flushing sensation",Not Severe,0.1361
O=C(Nc1ccc(cc1)O)/C=C(/C=C/C=C(C)/C=C/C1=C(CCCC1(C)C)C)C,"headache, skin rash, dizziness, skin dryness, night-blindness",Not Severe,0.0904
CCN(CC)C(=O)c1cccc(C)c1,"diarrhea, skin irritation, redness, swelling, seizures",Not Severe,0.233
[C@H]1([C@H]2N(C[C@@H]([C@H]([C@@H]2O)O)OC(=O)CCC)CC1)O,"diarrhea, nausea, dizziness, headache, vomiting",Not Severe,0.1197
[N+](=[N-])=N[C@]1(COC(=O)C(C)C)O[C@H]([C@H](OC(C(C)C)=O)[C@@H]1OC(C(C)C)=O)n1c(nc(cc1)N)=O,"diarrhea, nausea, headache, dizziness, vomiting",Not Severe,0.0935
c1(-c2c(=O)c3ccc(cc3oc2)O)ccc(O)cc1,"nausea, diarrhea, headache, dizziness, vomiting",Not Severe,0.2276
c1ccccc1-c1oc2c(c(c(O)c(O)c2)O)c(c1)=O,"nausea, diarrhea, headache, dizziness, stomach upset",Not Severe,0.2699
S(CCNC)C(=Nc1n(cnc1)C)N(C)C,"dizziness, headache, diarrhea, nausea, vomiting",Not Severe,0.1136
c1c(ccc(C(O)CNC(C)C)c1)Nc1ncccc1,"nausea, vomiting, constipation, loss of appetite, increased thirst",Not Severe,0.3037
[Na+].c1cccc(C(C)c2ccccc2)c1C(C)C(=O)[O-],"dizziness, diarrhea, headache, nausea, vomiting",Not Severe,0.1272
O([C@H]1[C@H](C)O[C@H](C[C@@H]1OC)O[C@@H]1/C(C)=C/C[C@@H]2C[C@@H](C[C@@]3(O[C@@H]([C@@H](C)CC3)C(C)C)O2)OC([C@H]2[C@]3([C@H](OC/C3=C\C=C\[C@@H]1C)[C@@H](C(=C2)C)O)O)=O)[C@H]1C[C@@H]([C@H]([C@@H](O1)C)O)OC.[C@H]1([C@H](C[C@@H](O[C@H]1C)O[C@@H]1/C(C)=C/C[C@@H]2C[C@@H](C[C@@]3(O2)CC[C@@H]([C@H](O3)[C@H](CC)C)C)OC([C@@H]2C=C([C@H]([C@@H]3[C@@]2(O)/C(=C/C=C/[C@@H]1C)CO3)O)C)=O)OC)O[C@@H]1O[C@@H](C)[C@@H]([C@@H](OC)C1)O,"nausea, diarrhea, itching, dizziness, vomiting",Not Severe,0.1291
C1(Oc2cc(c3c(OC(CC3=O)c3ccc(O)cc3)c2)O)C(OC2OC(C)C(C(C2O)O)O)C(C(O)C(O1)CO)O,"dizziness, headache, diarrhea, cough, headaches",Not Severe,0.1
OC(=O)Cn1c(nnn1)SCC1C(=O)N(C(=O)C2=C1NC(=O)C(C2C)N)C,"diarrhea, dizziness, headache, nausea, vomiting",Not Severe,0.0836
Oc1c(-c2cc(O)c(c(c2)O)O)oc2c(c1=O)c(cc(O)c2)O,"diarrhea, dizziness, headache, nausea, vomiting",Not Severe,0.171
CN([C@@H]1[C@@H](O)[C@@H](C[C@H](O1)O)O[C@@H]1C[C@H](O[C@H]([C@@H](CC)[C@@H]1O)C)c1cc(O)c(O)c(O)c1O)C,"nausea, diarrhea, dizziness, vomiting, itching",Not Severe,0.1494
c1(cc(-c2oc3c(c(cc(O)c3)O)c(c2O)=O)cc(O)c1O)O,"diarrhea, headache, nausea, dizziness, vomiting",Not Severe,0.1641
n1(cncc1N=C(SCCNC)N(C)C)C,"dizziness, fatigue, headache, stomach irritation, kidney damage",Not Severe,0.0857
c1(Cl)cnc(cc1)C(c1ccccc1)CCN(C)C,"nausea, vomiting, itching, dizziness, headache",Not Severe,0.1767
c1(ccc(cc1)O)-c1cc(c2c(c(c(cc2o1)O)-c1c2oc(-c3ccc(O)cc3)cc(=O)c2c(cc1O)O)O)=O,"headache, dizziness, diarrhea, vomiting, nausea",Not Severe,0.1978
Oc1c(ccc(-c2oc3c(c(c2OC2OC(CO)C(C(O)C2O)O)=O)c(cc(c3)O)O)c1)O,"dizziness, headache, diarrhea, vomiting, nausea",Not Severe,0.1574
O1c2c(c(cc(c2)OC)O)C(CC1c1ccccc1)=O,"dizziness, drowsiness, dry mouth, stomach irritation, kidney damage",Not Severe,0.1909
Oc1c2c(c(c(-c3cc(c(c(O)c3)O)O)oc2cc(c1)O)O)=O,"diarrhea, dizziness, rash, injection site reaction, photosensitivity",Not Severe,0.3707
Oc1c(O)c(O)cc2c1c(=O)cc(-c1ccccc1)o2,"nausea, diarrhea, headache, dizziness, vomiting",Not Severe,0.202
C1C(c2ccc(cc2)O)Oc2c(c(O)cc(c2)OC2OC(CO)C(O)C(O)C2OC2C(C(C(C(O2)C)O)O)O)C1=O,"headache, dizziness, diarrhea, vomiting, nausea",Not Severe,0.0769
C1(\[C@@H](O[C@H]2C[C@H](OC)[C@H]([C@@H](O2)C)O[C@@H]2O[C@@H](C)[C@@H]([C@H](C2)OC)O)[C@H](/C=C/C=C2\CO[C@@H]3[C@H](O)C(C)=C[C@@H](C(=O)O[C@@H]4C[C@@]5(O[C@H](C/C=1)C4)CC[C@@H]([C@H](O5)[C@H](CC)C)C)[C@@]32O)C)C.C12\CO[C@H]3[C@@]2([C@H](C(=O)O[C@H]2C[C@H](O[C@@]4(CC[C@@H]([C@H](O4)C(C)C)C)C2)C/C=C(\C)[C@H]([C@@H](C)/C=C/C=1)O[C@@H]1O[C@@H](C)[C@@H]([C@H](C1)OC)O[C@H]1C[C@@H]([C@@H](O)[C@H](C)O1)OC)C=C([C@H]3O)C)O,"nausea, diarrhea, itching, dizziness, vomiting",Not Severe,0.1173
S([C@@H](c1cc(ccc1)/C=C/c1ccc2c(cc(cc2)Cl)n1)CCc1ccccc1C(O)(C)C)CC1(CC(=O)O)CC1,"nausea, diarrhea, vomiting, headache, itching",Not Severe,0.1903
[C@H]1([C@](O[C@@H](n2ccc(N)nc2=O)[C@@H]1OC(=O)C(C)C)(COC(C(C)C)=O)N=[N+]=[N-])OC(C(C)C)=O,"diarrhea, nausea, dizziness, stomach pain, headache",Not Severe,0.1279
c1(c(OC(C)=O)cccc1)C(=O)O,"diarrhea, dizziness, headache, nausea, vomiting",Not Severe,0.0956
C(C)(Nc1ccc(O)cc1)=O,"diarrhea, dizziness, bloating, gas, belly pain",Not Severe,0.1192
CCN(C(=O)c1cccc(C)c1)CC,"diarrhea, skin irritation, redness, swelling, seizures",Not Severe,0.2576
c1ncn(C)c1N=C(SCCNC)N(C)C,"dizziness, fatigue, headache, stomach irritation, kidney damage",Not Severe,0.1362
Oc1cc(c2c(c(c(-c3ccc(O)cc3)oc2c1)O)=O)O,"diarrhea, dizziness, headache, nausea, vomiting",Not Severe,0.1204
Oc1cc2oc(-c3ccc(cc3)O)c(c(c2c(c1)O)=O)O,"nausea, dizziness, stomach irritation, kidney damage, bleeding",Not Severe,0.1596
c1nc(ccc1)NC(=O)C1[C@H](C(=C(NC=1C)c1ccc(cc1)-n1c(C)nc2cnccc21)C(OCC)=O)c1ccccc1Cl,"diarrhea, headache, dizziness, nausea, vomiting",Not Severe,0.1409
C(=N)(N(C)C)NC(=N)N,"diarrhea, dizziness, headache, bloating, gas",Not Severe,0.0898
O=C(O[C@@H]1[C@H]([C@@H]([C@H]2[C@@H](O)CCN2C1)O)O)CCC,"diarrhea, nausea, dizziness, headache, vomiting",Not Severe,0.0789
[C@@H]1([C@H](CC)[C@@H](O[C@@H](C[C@H]1O[C@H]1[C@H](O)[C@@H](N(C)C)O[C@H](O)C1)c1c(O)c(O)c(O)c(c1)O)C)O,"nausea, diarrhea, dizziness, itching, stomach pain",Not Severe,0.1426
c1c(cc(c(c1)O)O)-c1oc2cc(O)cc(O)c2c(c1O)=O,"nausea, diarrhea, headache, dizziness, stomach upset",Not Severe,0.2015
c12c(c(c(-c3ccc(O)cc3)oc1cc(O)cc2O)O)=O,"headache, dizziness, vomiting, nausea, diarrhea",Not Severe,0.1502
N(C)(C)CCC(c1ccccc1)c1ncc(Cl)cc1,"nausea, vomiting, constipation, loss of appetite, increased thirst",Not Severe,0.3478
c1(C)cc(C(=O)N(CC)CC)ccc1,"nausea, vomiting, rash, itching, skin irritation",Not Severe,0.212
N1C(c2ccc(-n3c4c(cncc4)nc3C)cc2)=C(C(=O)OCC)[C@@H](C(C(Nc2ncccc2)=O)=C1C)c1c(Cl)cccc1,"dizziness, headache, diarrhea, photosensitivity, stomach upset",Not Severe,0.1678
c1c(cccc1)-c1cc(=O)c2c(cc(c(O)c2O)O)o1,"diarrhea, dizziness, headache, nausea, vomiting",Not Severe,0.2046
